clock,lat,lon,alt
1477388576.379468441,56.0663378542,8.38911763634,60.1884556885
1477388576.391753435,56.0663378542,8.38911763634,60.1884556885
1477388576.480978251,56.0663378542,8.38911763634,60.1884556885
1477388576.543994665,56.0663371921,8.38911699351,60.1955100484
1477388576.579198360,56.0663353559,8.38911532428,60.2145430893
1477388576.611884594,56.0663353493,8.38911531802,60.2146030085
1477388576.646095991,56.0663353423,8.38911531139,60.214665798
1477388576.651127100,56.0663344324,8.38911478132,60.2228297715
1477388576.701434135,56.0663344161,8.38911476776,60.2229647799
1477388576.779598475,56.066331655,8.38911238172,60.2500145068
1477388576.810107708,56.0663316299,8.3891123604,60.2502177855
1477388576.887590170,56.0663307321,8.38911158245,60.257134602
1477388576.915768147,56.0663307031,8.38911155794,60.2573840633
1477388576.924964190,56.0663306936,8.38911154993,60.2574673725
1477388576.984336853,56.0663306323,8.38911149845,60.2580049705
1477388577.007474661,56.0663306082,8.38911147905,60.2582190691
1477388577.021561146,56.0663278464,8.38910919657,60.2823059825
1477388577.079900980,56.0663277386,8.38910910736,60.2831194845
1477388577.147327185,56.0663276139,8.3891090018,60.2840595646
1477388577.179642677,56.0663240414,8.38910584773,60.3139442194
1477388577.206681967,56.0663239566,8.3891057763,60.3145860139
1477388577.247912407,56.0663238276,8.3891056645,60.315624259
1477388577.281785250,56.0663227614,8.38910463471,60.3190765264
1477388577.307284355,56.0663219778,8.38910379755,60.3197209414
1477388577.348518372,56.0663218179,8.38910365485,60.3207957066
1477388577.348518372,56.0663218179,8.38910365485,60.3207957066
1477388577.407797098,56.066321585,8.38910345425,60.3222605665
1477388577.439806938,56.0663214585,8.38910334585,60.3230506699
1477388577.528579712,56.0663186958,8.3891010959,60.3388014332
1477388577.578889608,56.0663178665,8.38910004984,60.3362883221
1477388577.578889608,56.0663178665,8.38910004984,60.3362882848
1477388577.592973948,56.0663164887,8.38909857698,60.3391968044
1477388577.638247967,56.0663162059,8.38909832834,60.3402446465
1477388577.677415133,56.0663151945,8.38909754086,60.3377106479
1477388577.691253424,56.0663151016,8.38909745755,60.3379866113
1477388577.783820629,56.066313448,8.38909606709,60.3385043161
1477388577.878864288,56.0663112509,8.38909400807,60.3437668056
1477388577.905568123,56.0663110231,8.38909380462,60.3448017698
1477388577.928259373,56.0663108284,8.38909363253,60.3456839315
1477388577.973994017,56.0663104335,8.3890932856,60.3476992398
1477388578.042401552,56.0663098385,8.38909275827,60.3508586522
1477388578.079308033,56.0663095184,8.38909245889,60.3524443936
1477388578.086670160,56.0663068002,8.38909006736,60.358693571
1477388578.138988972,56.0663057361,8.38908937136,60.3482184638
1477388578.179085732,56.0663052933,8.38908897042,60.3499172315
1477388578.238584995,56.0663041942,8.38908815275,60.34098859
1477388578.277391672,56.0663037436,8.38908775898,60.3431161373
1477388578.311035872,56.0663026674,8.38908667938,60.335072805
1477388578.388518572,56.0663017398,8.38908597884,60.3234125004
1477388578.419709682,56.0663013444,8.38908566805,60.3245014263
1477388578.458948851,56.0662997512,8.38908435567,60.3210310555
1477388578.498192549,56.0662992162,8.38908391292,60.3215418894
1477388578.560582399,56.0662982879,8.38908289554,60.3098448842
1477388578.582599401,56.0662979862,8.38908262024,60.3100749146
1477388578.608861685,56.0662976225,8.38908229898,60.310489982
1477388578.634959698,56.0662972575,8.38908198492,60.3110524452
1477388578.681309223,56.0662966037,8.38908142996,60.3120546829
1477388578.711487293,56.0662961818,8.38908104216,60.3126182655
1477388578.779387951,56.0662952302,8.38908014288,60.3136076031
1477388578.807264805,56.0662930661,8.38907834769,60.3137144858
1477388578.834707737,56.066292671,8.38907804641,60.2985847977
1477388578.913919210,56.0662913943,8.38907697907,60.3005838453
1477388578.942112446,56.0662909481,8.38907654975,60.3009097847
1477388578.979389906,56.0662902752,8.38907491452,60.2893807316
1477388578.992420197,56.0662900657,8.38907470338,60.289272726
1477388579.043747187,56.0662892357,8.38907386656,60.2887074025
1477388579.078829527,56.0662880102,8.38907348277,60.2802473222
1477388579.078829527,56.0662880102,8.38907348277,60.2802473222
1477388579.143361092,56.0662868708,8.38907256712,60.2792238213
1477388579.178950310,56.0662862552,8.38907198923,60.2783627244
1477388579.193668127,56.066286002,8.38907174087,60.2780374581
1477388579.254089594,56.0662849396,8.38907076939,60.2764713076
1477388579.279288769,56.0662844815,8.38907040426,60.2758179842
1477388579.313454866,56.066283437,8.38906923725,60.2669622663
1477388579.355185509,56.0662826577,8.38906858002,60.2657619318
1477388579.407594681,56.0662816921,8.38906767265,60.2644839538
1477388579.439793587,56.066281098,8.38906709945,60.2639254155
1477388579.479229689,56.0662803021,8.38906662985,60.2523056423
1477388579.505200863,56.0662794435,8.38906589458,60.2467270242
1477388579.588707209,56.066277785,8.38906454389,60.245805044
1477388579.605810881,56.0662774515,8.38906423176,60.2453059464
1477388579.636348486,56.0662768516,8.38906367909,60.2441152756
1477388579.702398777,56.0662761886,8.38906291925,60.2285749672
1477388579.746673346,56.0662753178,8.38906217341,60.2268154785
1477388579.848890066,56.0662736741,8.38906038043,60.2121138038
1477388579.928479910,56.0662721096,8.38905896494,60.2087301478
1477388579.958594561,56.0662710778,8.38905861888,60.2097527876
1477388580.010938883,56.0662700105,8.38905768162,60.2084978721
1477388580.010938883,56.0662700105,8.38905768162,60.2084978721
1477388580.078940630,56.0662686173,8.38905643096,60.2059531598
